system,difficulty,mean_score,std_score
S1,easy,0.7416666666666667,0.43928466225530066
S1,hard,0.30000000000000004,0.4301162633521314
S1,medium,0.6676470588235294,0.4111497508780211
S2,easy,0.19722222222222222,0.38396817836479546
S2,hard,0.34814814814814815,0.4907791738968395
S2,medium,0.3137254901960785,0.3462214335447065
S2+R,easy,0.7638888888888888,0.42254310207112655
S2+R,hard,0.4703703703703704,0.46201384191759537
S2+R,medium,0.6317853457172342,0.40267356465766146
S3,easy,0.20277777777777775,0.38396817836479546
S3,hard,0.04444444444444445,0.13333333333333336
S3,medium,0.21568627450980393,0.26721756820645215
S3+R,easy,0.7777777777777778,0.4131494058594261
S3+R,hard,0.30000000000000004,0.4301162633521314
S3+R,medium,0.6784313725490196,0.4204728119877848
S3-legacy,easy,0.21666666666666667,0.3996375169169384
S3-legacy,hard,0.06666666666666667,0.2
S3-legacy,medium,0.24705882352941178,0.26953118339726373
S7,easy,0.7777777777777778,0.401286176952564
S7,hard,0.5518518518518518,0.42068433372539
S7,medium,0.6718724916867332,0.36933640276390867
