system,replicate,delta_q_main
RAFT-RAG,1,-0.012453
RAFT-RAG,2,0.026611
RAFT-RAG,3,0.070753
RAFT-RAG,4,0.001231
RAFT-RAG,5,-0.006001
RAFT-RAG,6,0.046606
RAFT-RAG,7,0.06891
RAFT-RAG,8,-0.040756
RAFT-RAG,9,0.017378
RAFT-RAG,10,0.03261
RAFT-RAG,11,0.032763
RAFT-RAG,12,0.056297
RAFT-RAG,13,0.016452
RAFT-RAG,14,0.094287
RAFT-RAG,15,-0.020917
RAFT-RAG,16,-0.075985
RAFT-RAG,17,0.036452
RAFT-RAG,18,0.063216
RAFT-RAG,19,0.071987
RAFT-RAG,20,0.043225
RAFT-RAG,21,0.014151
RAFT-RAG,22,0.017226
RAFT-RAG,23,0.085678
RAFT-RAG,24,-0.010617
RAFT-RAG,25,-0.001234
RAFT-RAG,26,-0.019381
RAFT-RAG,27,0.010462
RAFT-RAG,28,0.092444
RAFT-RAG,29,0.121206
RAFT-RAG,30,0.067219
RAFT-RAG,31,0.039681
RAFT-RAG,32,-0.064451
RAFT-RAG,33,0.074137
RAFT-RAG,34,0.025844
RAFT-RAG,35,-0.020457
RAFT-RAG,36,0.012918
RAFT-RAG,37,0.037531
RAFT-RAG,38,0.066914
RAFT-RAG,39,0.063222
RAFT-RAG,40,-0.042608
RAFT-RAG,41,-0.037685
RAFT-RAG,42,-0.013377
RAFT-RAG,43,0.027842
RAFT-RAG,44,0.003848
RAFT-RAG,45,0.107817
RAFT-RAG,46,0.018295
RAFT-RAG,47,0.001393
RAFT-RAG,48,0.030143
RAFT-RAG,49,0.129203
RAFT-RAG,50,0.023379
RAFT-RAG,51,-0.051532
RAFT-RAG,52,0.018304
RAFT-RAG,53,0.06568
RAFT-RAG,54,0.173347
RAFT-RAG,55,-0.016313
RAFT-RAG,56,0.018919
RAFT-RAG,57,0.072446
RAFT-RAG,58,-0.020917
RAFT-RAG,59,0.029838
RAFT-RAG,60,-0.009388
RAFT-RAG,61,-0.029688
RAFT-RAG,62,-0.008773
RAFT-RAG,63,-0.025992
RAFT-RAG,64,0.048757
RAFT-RAG,65,0.041372
RAFT-RAG,66,0.031379
RAFT-RAG,67,0.072446
RAFT-RAG,68,0.05368
RAFT-RAG,69,0.005234
RAFT-RAG,70,0.053068
RAFT-RAG,71,0.067983
RAFT-RAG,72,0.040148
RAFT-RAG,73,0.088905
RAFT-RAG,74,0.110742
RAFT-RAG,75,0.003696
RAFT-RAG,76,0.041379
RAFT-RAG,77,0.022148
RAFT-RAG,78,0.006456
RAFT-RAG,79,0.107205
RAFT-RAG,80,-0.056909
RAFT-RAG,81,0.080603
RAFT-RAG,82,0.071058
RAFT-RAG,83,0.009074
RAFT-RAG,84,0.012308
RAFT-RAG,85,0.047992
RAFT-RAG,86,-0.056607
RAFT-RAG,87,0.054759
RAFT-RAG,88,0.032915
RAFT-RAG,89,0.002615
RAFT-RAG,90,-0.002924
RAFT-RAG,91,-0.011227
RAFT-RAG,92,0.022606
RAFT-RAG,93,0.075521
RAFT-RAG,94,0.004615
RAFT-RAG,95,0.063527
RAFT-RAG,96,0.097976
RAFT-RAG,97,0.06137
RAFT-RAG,98,-0.003229
RAFT-RAG,99,0.005542
RAFT-RAG,100,0.069988
RAFT-RAG,101,0.030298
RAFT-RAG,102,0.060148
RAFT-RAG,103,0.088288
RAFT-RAG,104,0.032153
RAFT-RAG,105,0.054913
RAFT-RAG,106,0.046914
RAFT-RAG,107,0.086138
RAFT-RAG,108,0.078147
RAFT-RAG,109,-0.041843
RAFT-RAG,110,0.115366
RAFT-RAG,111,-0.003537
RAFT-RAG,112,0.094132
RAFT-RAG,113,0.041381
RAFT-RAG,114,0.043987
